,Word,Positive
125,ABLE,1
336,ABUNDANCE,1
338,ABUNDANT,1
438,ACCLAIMED,1
477,ACCOMPLISH,1
478,ACCOMPLISHED,1
479,ACCOMPLISHES,1
480,ACCOMPLISHING,1
481,ACCOMPLISHMENT,1
482,ACCOMPLISHMENTS,1
620,ACHIEVE,1
622,ACHIEVED,1
623,ACHIEVEMENT,1
624,ACHIEVEMENTS,1
627,ACHIEVES,1
628,ACHIEVING,1
906,ADEQUATELY,1
1137,ADVANCEMENT,1
1138,ADVANCEMENTS,1
1139,ADVANCES,1
1140,ADVANCING,1
1141,ADVANTAGE,1
1142,ADVANTAGED,1
1143,ADVANTAGEOUS,1
1144,ADVANTAGEOUSLY,1
1145,ADVANTAGES,1
1893,ALLIANCE,1
1894,ALLIANCES,1
4090,ASSURE,1
4091,ASSURED,1
4094,ASSURES,1
4095,ASSURING,1
4270,ATTAIN,1
4276,ATTAINED,1
4277,ATTAINING,1
4278,ATTAINMENT,1
4279,ATTAINMENTS,1
4280,ATTAINS,1
4342,ATTRACTIVE,1
4344,ATTRACTIVENESS,1
5942,BEAUTIFUL,1
5943,BEAUTIFULLY,1
6375,BENEFICIAL,1
6376,BENEFICIALLY,1
6381,BENEFIT,1
6382,BENEFITED,1
6383,BENEFITING,1
6385,BENEFITTED,1
6386,BENEFITTING,1
6504,BEST,1
6578,BETTER,1
7904,BOLSTERED,1
7905,BOLSTERING,1
7906,BOLSTERS,1
8081,BOOM,1
8091,BOOMING,1
8110,BOOST,1
8111,BOOSTED,1
8630,BREAKTHROUGH,1
8631,BREAKTHROUGHS,1
8807,BRILLIANT,1
11792,CHARITABLE,1
13751,COLLABORATE,1
13752,COLLABORATED,1
13753,COLLABORATES,1
13754,COLLABORATING,1
13755,COLLABORATION,1
13756,COLLABORATIONS,1
13757,COLLABORATIVE,1
13760,COLLABORATOR,1
13761,COLLABORATORS,1
14437,COMPLIMENT,1
14439,COMPLIMENTARY,1
14440,COMPLIMENTED,1
14441,COMPLIMENTING,1
14442,COMPLIMENTS,1
14673,CONCLUSIVE,1
14674,CONCLUSIVELY,1
14791,CONDUCIVE,1
14878,CONFIDENT,1
15371,CONSTRUCTIVE,1
15372,CONSTRUCTIVELY,1
16559,COURTEOUS,1
16930,CREATIVE,1
16931,CREATIVELY,1
16932,CREATIVENESS,1
16936,CREATIVITY,1
19297,DELIGHT,1
19298,DELIGHTED,1
19300,DELIGHTFUL,1
19301,DELIGHTFULLY,1
19302,DELIGHTING,1
19303,DELIGHTS,1
19691,DEPENDABILITY,1
19692,DEPENDABLE,1
20062,DESIRABLE,1
20067,DESIRED,1
20115,DESPITE,1
20149,DESTINED,1
20738,DILIGENT,1
20739,DILIGENTLY,1
21948,DISTINCTION,1
21949,DISTINCTIONS,1
21950,DISTINCTIVE,1
21951,DISTINCTIVELY,1
21952,DISTINCTIVENESS,1
22880,DREAM,1
23586,EASIER,1
23588,EASILY,1
23604,EASY,1
23821,EFFECTIVE,1
23856,EFFICIENCIES,1
23857,EFFICIENCY,1
23858,EFFICIENT,1
23859,EFFICIENTLY,1
24542,EMPOWER,1
24543,EMPOWERED,1
24544,EMPOWERING,1
24547,EMPOWERS,1
24585,ENABLE,1
24586,ENABLED,1
24590,ENABLES,1
24591,ENABLING,1
24696,ENCOURAGED,1
24697,ENCOURAGEMENT,1
24699,ENCOURAGES,1
24700,ENCOURAGING,1
24926,ENHANCE,1
24927,ENHANCED,1
24928,ENHANCEMENT,1
24929,ENHANCEMENTS,1
24932,ENHANCES,1
24933,ENHANCING,1
24947,ENJOY,1
24948,ENJOYABLE,1
24949,ENJOYABLY,1
24950,ENJOYED,1
24951,ENJOYING,1
24952,ENJOYMENT,1
24954,ENJOYS,1
25142,ENTHUSIASM,1
25145,ENTHUSIASTIC,1
25146,ENTHUSIASTICALLY,1
26102,EXCELLENCE,1
26106,EXCELLENT,1
26108,EXCELLING,1
26109,EXCELS,1
26117,EXCEPTIONAL,1
26118,EXCEPTIONALLY,1
26156,EXCITED,1
26158,EXCITEMENT,1
26163,EXCITING,1
26181,EXCLUSIVE,1
26182,EXCLUSIVELY,1
26183,EXCLUSIVENESS,1
26185,EXCLUSIVES,1
26187,EXCLUSIVITY,1
26271,EXEMPLARY,1
27251,FANTASTIC,1
27468,FAVORABLE,1
27469,FAVORABLY,1
27470,FAVORED,1
27471,FAVORING,1
27472,FAVORITE,1
27473,FAVORITES,1
30088,FRIENDLY,1
30678,GAIN,1
30679,GAINED,1
30684,GAINING,1
30685,GAINS,1
32115,GOOD,1
32586,GREAT,1
32589,GREATER,1
32590,GREATEST,1
32592,GREATLY,1
32593,GREATNESS,1
33774,HAPPIEST,1
33775,HAPPILY,1
33776,HAPPINESS,1
33778,HAPPY,1
34849,HIGHEST,1
35394,HONOR,1
35395,HONORABLE,1
35404,HONORED,1
35411,HONORING,1
35412,HONORS,1
36466,IDEAL,1
37215,IMPRESS,1
37216,IMPRESSED,1
37217,IMPRESSES,1
37221,IMPRESSING,1
37232,IMPRESSIVE,1
37233,IMPRESSIVELY,1
37262,IMPROVE,1
37263,IMPROVED,1
37264,IMPROVEMENT,1
37265,IMPROVEMENTS,1
37266,IMPROVES,1
37271,IMPROVING,1
37694,INCREDIBLE,1
37695,INCREDIBLY,1
38308,INFLUENTIAL,1
38333,INFORMATIVE,1
38388,INGENUITY,1
38603,INNOVATE,1
38604,INNOVATED,1
38605,INNOVATES,1
38606,INNOVATING,1
38607,INNOVATION,1
38608,INNOVATIONS,1
38609,INNOVATIVE,1
38611,INNOVATIVENESS,1
38612,INNOVATOR,1
38613,INNOVATORS,1
38761,INSIGHTFUL,1
38835,INSPIRATION,1
38836,INSPIRATIONAL,1
39032,INTEGRITY,1
39675,INVENT,1
39676,INVENTED,1
39677,INVENTING,1
39678,INVENTION,1
